title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,127000,117180,8629.0,Sách kỹ năng mềm,419,4.8,450.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/00/9a/66/34d3abd4b5f39c62d1bf49f1f4c030bd.jpg
Tiếng gọi chân trời - Nguyễn Ngọc Tư,Nguyễn Ngọc Tư,95000,61750,316.0,Truyện ngắn - Tản văn - Tạp Văn,8,5.0,152.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/c3/40/f9/0a96a37e47f2c6757a2910ecb044827d.jpg
Trò Chơi Quyền Lực,Ngô Di Lân,189000,120960,200.0,Lịch Sử Thế Giới,15,5.0,372.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/84/79/e3/57065e8f5b066953b7b837d86c14bdae.jpg
"Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",Hirata Haruka,120000,99000,1146.0,Bài học kinh doanh,30,4.7,168.0,Nhà Xuất Bản Kinh Tế TPHCM,https://salt.tikicdn.com/ts/product/41/68/02/c5af2ce2e0df5463e71bda5e1947f925.jpg
Sống Sáng - Phan Việt - Sáng Books,Phan Việt,180000,180000,851.0,Sách tư duy - Kỹ năng sống,48,5.0,568.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/64/c6/f9/39a9492491f99a432ad7983bf238067b.png
Tại sao các quốc gia thất bại,Daron Acemoglu - James A. Robinson,310000,186000,349.0,Sách kinh tế học,22,4.8,616.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/b3/a1/02/984e03a02d1da9b334f5f9d29243a57f.png
Same As Ever: Quy Luật Bất Biến Về Bản Chất Con Người Và Tâm Lý Làm Giàu,Morgan Housel,219000,135780,337.0,Sách kỹ năng mềm,10,4.2,408.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/cd/65/67/c6fd347dbfaa745bf89f3046bbd2d3a8.png
Chat GPT Thực Chiến,Dịch Dương,169000,104780,2569.0,Sách kỹ năng làm việc,119,4.7,263.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/a1/61/c8/0ffd6d2fd86a19ea9b5f2048fc2d0e5d.png
Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,Tiffani Bova,195000,120900,2074.0,"Sách quản trị, lãnh đạo",59,4.8,358.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/8c/70/43/9bced865d7d70896f1de8b9558eda138.png
Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,139000,86180,30532.0,Sách tư duy - Kỹ năng sống,4824,4.8,204.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/9e/47/37/ab996b225e47a14fac8b0b771338b633.jpg
Con Đường Chẳng Mấy Ai Đi,M. Scott Peck,165000,109000,3128.0,Sách tư duy - Kỹ năng sống,173,5.0,344.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/7d/53/62/92a8071c9c82e7eda9b4a72d5e0f6efb.jpg
Tâm Lý Học Về Tiền,Morgan Housel,189000,117180,27184.0,Sách tài chính,3678,4.8,384.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/d8/79/d9/8c3f38ce32884e18b83d73260173b16c.jpg
MANIFEST – 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,Roxie Nafousi,89000,59630,2315.0,Sách tư duy - Kỹ năng sống,134,5.0,200.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/da/68/63/88e944e5d4292ecc636ca65447538f12.jpg
MBA bằng hình (Trọn gói hai năm kiến thức quản trị kinh doanh qua trực quan sinh động),Jason Barron,189000,132300,4551.0,Bài học kinh doanh,239,5.0,207.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/3e/25/3a/1e6bc9998b75b3345a4c38dd93bbbe16.jpg
Đúng Việc,Giản Tư Trung,125000,81250,16139.0,Sách tư duy - Kỹ năng sống,934,5.0,328.0,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/8c/a5/cd/b8de71b32a896c5e67d71795a2c752e0.jpg
Giải mã Hoóc-môn Dopamine,Anna Lembke,198000,128700,3433.0,Sách tư duy - Kỹ năng sống,225,5.0,348.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/b7/8e/d3/2e03cb8ba92163d988f34c60d99543ec.jpg
Cuộc cách mạng Glucose,Jessie Inchauspé,158000,102000,1441.0,Sách Y Học Khác,75,5.0,372.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/fb/87/13/81f56e73cd847ff94cbeded0c3c19602.jpg
Vùng Đất Quỷ Tha Ma Bắt,Kevin Chen,168000,113773,2556.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,238,5.0,413.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/93/42/77/30e3d337229409b7d0c364d3ff1d5a49.png
Giải Trí Đến Chết,Neil Postman,179000,110085,1066.0,Sách tư duy - Kỹ năng sống,81,4.8,336.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/e3/dd/6d/9b7839b65b04ec49406ed3e021bd9216.jpg
Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,Từ Thính Phong,119000,79729,7814.0,Lĩnh vực khác,588,4.8,280.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/11/b9/cd/6908d07d93737fd12fd452f05e174a17.jpg
Người Đàn Ông Mang Tên Ove (Tái Bản 2022),Fredrik Backman,160000,109000,4539.0,Truyện ngắn - Tản văn - Tạp Văn,359,5.0,452.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f1/74/87/ecc312fe5ec4c3da46b26f7bdbba53dd.png
Bốn Thỏa Ước,Don Miguel Ruiz,130000,84500,3597.0,Sách kỹ năng mềm,220,5.0,190.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/69/94/e1/2197a9f2aefd4dbbc8b125726bbd3429.jpg
Nỗi buồn chiến tranh,Bảo Ninh,130000,89000,2837.0,Tác phẩm kinh điển,278,5.0,348.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/01/a8/10/b768720aa2579a55e05d3b3aa86eff82.png
Nếu Biết Trăm Năm Là Hữu Hạn,Phạm Lữ Ân,159000,123000,1591.0,Truyện ngắn - Tản văn - Tạp Văn,237,5.0,268.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/3a/36/15/fcd5d7c1e963e66f686061393793d9b8.jpg
Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),James Clear,189000,139000,10542.0,Sách tư duy - Kỹ năng sống,811,4.8,385.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/38/ba/1f/f729a71fe47873cde5874dad5646a5f9.jpg
Flow - Dòng Chảy,Mihaly Csikszentmihalyi,228000,171000,8201.0,Sách kỹ năng mềm,735,5.0,556.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/2e/34/5c/f6ed74d4397f9ed4632d66621fdff93d.jpg
"Deep Work - Làm Ra Làm, Chơi Ra Chơi (Tái Bản)",Cal Newport,159000,106000,2754.0,Sách tư duy - Kỹ năng sống,267,4.7,352.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/25/64/8e/4992e5d750daed4720f15de18f05f8f7.jpg
Được Học (Tái Bản),Tara Westover,182000,125580,2270.0,Sách giáo dục,289,5.0,446.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/e1/86/99/55efc6cd57d8781fd15690a901cdac79.png
Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,72962,75793.0,Tiểu Thuyết,13450,5.0,244.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/c8/84/aa/bec728a86ef1cf81f90708df8c694f5f.png
Trường Ca Achilles (Quà Tặng Kèm: 01 Bookmark + 01 Phụ Lục),Madeline Miller,156000,109200,3432.0,Tiểu Thuyết,722,5.0,444.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/f9/f4/cf/d91f1de2848f9a86ca865e66121e79af.jpg
D. Trump - Nghệ Thuật Đàm Phán (Tái bản 2020),Donald J.Trump & Tony Schwartz,109000,88200,451.0,"Sách quản trị, lãnh đạo",68,5.0,328.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f0/0c/86/60880b57aa8b4b2273d09627e1079a8c.jpg
Đàn Ông Sao Hỏa Đàn Bà Sao Kim,John Gray,188000,138000,53328.0,Sách tư duy - Kỹ năng sống,4196,4.8,488.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/15/a9/ef/59dba31fef66d933e82a8a1e9d4923ba.jpg
Kỹ thuật đặt câu lệnh cho ChatGPT,Neil Dagger,179000,110980,122.0,Sách kỹ năng làm việc,3,5.0,279.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/d2/a9/f5/d09778ba88097c3290c8279619d3ebf9.png
